Country,Pop. Density (per sq. mi.),Net migration,Literacy (%),Deathrate
United Arab Emirates,31.4,1.03,77.9,4.4
Syria,102,0,76.9,4.81
Cape Verde,104.4,-12.07,76.6,6.55
Honduras,65.4,-1.99,76.2,5.28
Oman,14.6,0.28,75.8,3.81
Ghana,93.6,-0.64,74.8,9.72
Tunisia,62.2,-0.57,74.2,5.13
Guatemala,112.9,-1.67,70.6,5.2
Rwanda,328.4,0,70.4,16.09
Algeria,13.8,-0.39,70,4.61
Uganda,119.5,0,69.9,12.24
Cambodia,76.7,0,69.4,9.06
Madagascar,31.7,0,68.9,11.11
Nigeria,142.7,0.26,68,16.94
Djibouti,21.2,0,67.9,19.31
Nicaragua,43,-1.22,67.5,4.45
Saint Lucia,273.5,-2.67,67,5.08
Laos,26.9,0,66.4,11.55
Congo (Kinshasa),26.7,0,65.5,13.27
Papua New Guinea,12.3,0,64.6,7.25
Gabon,5.3,0,63.2,12.25
Malawi,109.8,0,62.7,19.33
South Sudan,16.5,-0.02,61.1,8.97
Togo,97.7,0,60.9,9.83
India,333.2,-0.07,59.5,8.18
East Timor,70.8,0,58.6,6.24
Eritrea,39.5,0,58.6,9.6
Seychelles,179.2,-5.69,58,6.29
Egypt,78.8,-0.22,57.7,5.23
Liberia,27.3,0,57.5,23.1
Comoros,318.4,0,56.5,8.2
Vanuatu,17.1,0,53,7.82
Haiti,299.4,-3.4,52.9,12.17
Morocco,74.4,-0.98,51.7,5.58
Burundi,290.7,-0.06,51.6,13.46
Central African Republic,6.9,0,51,18.65
Ivory Coast,54.8,-0.07,50.9,14.84
Yemen,40.6,0,50.2,8.3
Wallis and Futuna,58.5,,50,
Mozambique,24.6,0,47.8,21.35
Chad,7.7,-0.11,47.5,16.38
Mali,9.5,-0.33,46.4,16.89
Pakistan,206.2,-2.77,45.7,8.23
Nepal,192.2,0,45.2,9.31
Bangladesh,1023.4,-0.71,43.1,8.27
Ethiopia,66.3,0,42.7,14.86
Guinea-Bissau,39.9,-1.57,42.4,16.53
Bhutan,48.5,0,42.2,12.7
Angola,9.7,0,42,24.2
Mauritania,3.1,0,41.7,12.16
Benin,69.8,0,40.9,12.22
Iraq,61.3,0,40.4,5.37
Senegal,61.1,0.2,40.2,9.42
Gambia,145.3,1.57,40.1,12.25
Somalia,13.9,5.37,37.8,16.63
Afghanistan,48,23.06,36,20.34
Guinea,39.4,-3.06,35.9,15.48
Sierra Leone,83.7,0,31.4,23.03
Burkina Faso,50.7,0,26.6,15.6
Niger,9.9,-0.67,17.6,20.91
Gaza Strip,3968.8,1.6,,3.8
Solomon Islands,19.4,0,,3.92
West Bank,419.9,2.98,,3.92
Virgin Islands,56.9,-8.94,,6.43
Nauru,632.7,0,,6.7
Tuvalu,454.2,0,,7.11
Mayotte,538.1,6.78,,7.7
Greenland,0,-8.37,,7.84
Kiribati,130,0,,8.26
Bosnia and Herzegovina,88,0.31,96.99,8.27
Faroe Islands,33.8,1.41,,8.7
North Macedonia,80.9,-1.45,97.8,8.77
Jersey,785.2,2.76,,9.28
Gibraltar,3989.7,0,,9.31
Slovakia,111.4,0.3,99.6,9.45
Guernsey,838.6,3.84,,10.01
Isle of Man,131.9,5.36,,11.19
Western Sahara,1,,,
